,id,name,class,public_opinion,response_time,establishment_time,office_start,office_end,public_impact,address,latitude,longitude
84,85,Anand Niketan,"[13, 27, 2, 18, 41]",4.1,2.0,1938.0,900.0,1800.0,2.0, Dr E Moses Road Mahalaxmi Mumbai - 400011,72.936455,19.145601
85,86,Chembur Children's Home,"[5, 27]",4.0,2.0,1939.0,1030.0,1730.0,2.0,V N Purao Marg Mankhurd Mumbai - 400088,6.5833,52.9167
86,87,Bharatiya Janata Party Cultural Cell ,"[17, 27]",3.9,2.0,0.0,0.0,0.0,2.0, Navkiran Marg Andheri West Mumbai - 400053,72.9333,19.05
87,88,Salaam Bombay Foundation,[27],4.4,2.0,2002.0,900.0,1700.0,2.0, Nirmal Building Nariman Point Mumbai - 400021,72.820458,19.139348
88,89,GreenSole,"[5, 17, 27]",4.0,2.0,0.0,0.0,2359.0,3.0, C/O Ram Fashion Exports Mahape Navi Mumbai - 400710,72.82071,18.927877
89,90,Save Our Strays,"[24, 27, 33]",3.0,2.0,2002.0,1000.0,1800.0,2.0, Garden View Building Andheri West Mumbai - 400053,73.028111,19.109989
90,91,Children Of the World Trust,"[5, 7, 42]",4.1,2.0,1982.0,900.0,1700.0,2.0, Plot No 9 and 10 Nerul Navi Mumbai - 400706,72.820458,19.139348
91,92,Bapnu Ghar,"[2, 17, 27, 37, 43]",4.0,2.0,0.0,1000.0,1630.0,3.0,12 Dr Annie Besant Road Worli Mumbai - 400018,73.0172,19.0242
92,93,Jeevan Darshan Kendra,[27],4.1,2.0,0.0,900.0,1830.0,2.0, Near GirijVasai West Palghar - 401202,6.5833,52.9167
93,94,Womens India Trust,"[2, 17, 27]",4.0,2.0,1968.0,930.0,1730.0,2.0, Bunder Road Panvel Navi Mumbai - 410206,10.41944,5.47944
94,95,United Way Mumbai,"[17, 27, 38]",4.0,2.0,2003.0,1000.0,1800.0,2.0, Dr. E Moses Road Mahalaxmi Mumbai - 400011,103.84935,1.308178
95,96,Plants and animals Welfare Society ,"[24, 27, 30]",3.0,2.0,2002.0,1100.0,1700.0,2.0, Gamdevi Road Bhandup West Mumbai - 400078,6.5833,52.9167
96,97,Girija Foundation,"[3, 5, 8, 9, 20, 27, 13]",4.1,2.0,2012.0,900.0,2100.0,3.0, Mumbai Pune Road Panvel Navi Mumbai - 410206,72.81238,18.958693
97,98,Leonard Chesire disability home,"[18, 27]",4.0,2.0,1956.0,1000.0,1700.0,3.0, Mahakali Caves Road Andheri East Mumbai - 400093,73.126936,18.980485
98,99,Antrang Foundation,"[26, 27, 37]",4.5,2.0,0.0,1000.0,1800.0,3.0, Dr Ss Rao Marg Lal Baug Mumbai - 400012,72.86018,19.117126
99,100,Neem Foundation,[27],4.5,2.0,0.0,1000.0,1800.0,2.0, Road 12 Juhu Mumbai - 400049,30.0,7.0
